Suspicion_Score,Season,Date,Flagged_Team,Flagged_Team_Side,Opponent,Flagged_Team_Score,Opponent_Score,Team_Historical_Avg_Margin,Team_Historical_Game_Count,Reasoning,Source,Your_Determination,Corrected_Name,Notes
6,1922,1922-11-11,Joliet (IL),Home,Danville (IL),9,7,-9.3,928,"Opponent 'Danville (IL)' is ALSO a risk-listed college-town name -- may be a college-vs-college guarantee game misfiled as HS, or confirms both sides need a look. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",https://www.classmates.com/siteui/yearbooks/4182837845?page=64,,,
6,1942,1942-10-03,Yankton (SD),Home,Northern State College (SD),18,6,8.4,975,"Opponent 'Northern State College (SD)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",Argus_Leader_1942_10_03_Page_3.csv,,,
6,1929,1929-11-09,Findlay (OH),Home,Adrian (MI),13,0,2.5,1215,"Opponent 'Adrian (MI)' is ALSO a risk-listed college-town name -- may be a college-vs-college guarantee game misfiled as HS, or confirms both sides need a look. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",The_Bay_City_Times_1929_11_09_6.csv,,,
6,1926,1926-11-05,Dickinson (ND),Home,Dickinson State University (ND),13,12,-0.9,982,"Opponent 'Dickinson State University (ND)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | Pre-1930 season -- college/HS crossover games were common this early.",http://www.bhs.bismarckschools.org/bhs/bhsathletics/throwers/history-of-bismarck-high-football/,,,
6,1940,1940-09-28,Valley City (ND),Home,Minot Teachers College (ND),7,6,1.1,957,"Opponent 'Minot Teachers College (ND)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Forum_1940_09_28_7.csv,,,
6,1934,1934-10-14,Defiance (OH),Home,Earlham College (OH),14,0,-1.0,862,"Opponent 'Earlham College (OH)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Plain_Dealer_1934_10_14_33.csv,,,
6,1934,1934-11-03,Murray (KY),Home,Union College (KY),19,0,7.5,819,"Opponent 'Union College (KY)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Courier_Journal_1934_11_03_Page_14.csv,,,
6,1934,1934-10-28,Bluffton (OH),Home,Earlham College (OH),12,0,3.2,714,"Opponent 'Earlham College (OH)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Plain_Dealer_1934_10_28_33.csv,,,
6,1932,1932-11-25,Murray (KY),Home,University of Tennessee-Martin (TN),6,2,7.5,819,"Opponent 'University of Tennessee-Martin (TN)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Courier_Journal_1932_11_25_Page_14.csv,,,
6,1937,1937-10-09,Yankton (SD),Home,University of Sioux Falls (SD),19,18,8.4,975,"Opponent 'University of Sioux Falls (SD)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",Argus_Leader_1937_10_09_Page_3.csv,,,
6,1924,1924-11-01,York (NE),Home,Lincoln University Place (NE),28,8,-0.5,821,"Opponent 'Lincoln University Place (NE)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | Pre-1930 season -- college/HS crossover games were common this early.",Lincoln_Journal_Star_1924_11_01_9.csv,,,
6,1921,1921-11-12,York (NE),Home,Lincoln University Place (NE),13,7,-0.5,821,"Opponent 'Lincoln University Place (NE)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | Pre-1930 season -- college/HS crossover games were common this early.",Lincoln_Journal_Star_1921_11_12_3.csv,,,
6,1937,1937-10-15,Minot (ND),Visitor,University of North Dakota Fresh (ND),0,18,7.4,1097,"Opponent 'University of North Dakota Fresh (ND)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",http://www.bhs.bismarckschools.org/bhs/bhsathletics/throwers/history-of-bismarck-high-football/,,,
6,1922,1922-11-11,Danville (IL),Visitor,Joliet (IL),7,9,4.1,931,"Opponent 'Joliet (IL)' is ALSO a risk-listed college-town name -- may be a college-vs-college guarantee game misfiled as HS, or confirms both sides need a look. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",https://www.classmates.com/siteui/yearbooks/4182837845?page=64,,,
6,1931,1931-10-10,Georgetown Scott County (KY),Home,Xavier University (OH),14,0,4.9,1007,"Opponent 'Xavier University (OH)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Courier_Journal_1931_10_10_Page_17.csv,,,
6,1931,1931-11-08,Oberlin (OH),Visitor,Kent State University School (OH),0,13,-5.6,712,"Opponent 'Kent State University School (OH)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Plain_Dealer_1931_11_08_21.csv,,,
6,1930,1930-09-27,Huron (SD),Visitor,Northern State College (SD),0,25,-4.9,908,"Opponent 'Northern State College (SD)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",Rapid_City_Journal_1930_09_27_6.csv,,,
6,1927,1927-10-21,Dickinson (ND),Visitor,Dickinson State University (ND),0,13,-0.9,982,"Opponent 'Dickinson State University (ND)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | Pre-1930 season -- college/HS crossover games were common this early.",http://www.bhs.bismarckschools.org/bhs/bhsathletics/throwers/history-of-bismarck-high-football/,,,
6,1923,1923-09-30,Defiance (OH),Visitor,Oberlin (OH),0,27,-1.0,862,"Opponent 'Oberlin (OH)' is ALSO a risk-listed college-town name -- may be a college-vs-college guarantee game misfiled as HS, or confirms both sides need a look. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",The_Plain_Dealer_1923_09_30_41 (1).csv,,,
6,1929,1929-11-09,Adrian (MI),Visitor,Findlay (OH),0,13,0.9,877,"Opponent 'Findlay (OH)' is ALSO a risk-listed college-town name -- may be a college-vs-college guarantee game misfiled as HS, or confirms both sides need a look. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",The_Bay_City_Times_1929_11_09_6.csv,,,
6,1938,1938-11-12,Grinnell (IA),Visitor,Coe College (IA),0,6,1.7,1110,"Opponent 'Coe College (IA)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",Argus_Leader_1938_11_12_Page_3 (1).csv,,,
6,1926,1926-10-17,Bluffton (OH),Visitor,University of Findlay (OH),0,6,3.2,714,"Opponent 'University of Findlay (OH)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | Pre-1930 season -- college/HS crossover games were common this early.",The_Plain_Dealer_1926_10_17_29.csv,,,
6,1939,1939-11-04,York (NE),Visitor,Midland College (NE),0,0,-0.5,821,"Opponent 'Midland College (NE)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",Lincoln_Journal_Star_1939_11_04_11.csv,,,
6,1937,1937-11-06,Moorhead (MN),Visitor,Sioux Falls (SD),0,31,8.0,906,"Opponent 'Sioux Falls (SD)' is ALSO a risk-listed college-town name -- may be a college-vs-college guarantee game misfiled as HS, or confirms both sides need a look. | Margin (-31) is a 1.9-sigma outlier vs this team's usual margin (8.0 avg). | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",Star_Tribune_1937_11_06_Page_23.csv,,,
6,1927,1927-10-15,Yankton (SD),Visitor,Western Union College (IA),7,16,8.4,975,"Opponent 'Western Union College (IA)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | Pre-1930 season -- college/HS crossover games were common this early.",The_Forum_1927_10_15_8.csv,,,
6,1937,1937-10-23,Findlay (OH),Visitor,Capital University (OH),0,6,2.5,1215,"Opponent 'Capital University (OH)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Plain_Dealer_1937_10_23_19.csv,,,
6,1934,1934-10-13,Murray (KY),Visitor,Millsaps College (MS),6,7,7.5,819,"Opponent 'Millsaps College (MS)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Courier_Journal_1934_10_13_Page_14.csv,,,
6,1930,1930-11-28,Georgetown Scott County (KY),Visitor,Centre College (KY),0,22,4.9,1007,"Opponent 'Centre College (KY)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Courier_Journal_1930_11_28_Page_14.csv,,,
