National_Rank,Team,State,Combined_2025,Margin,Win_Loss,Offense,Defense,Games_Played,Total_Seasons,Previous_Best,Improvement,StateRank,Is_State_Top,Is_Program_Record,Recognition_Type,TeamPageUrl,HasTeamPage,Website_Status,Athletic_Director,AD_Email,Head_Coach,Coach_Email,Athletic_Dept_Email,Main_Phone,Contact_Notes,Email_Sent_Date,Email_Status,Response_Notes
5428,Waterford (OH),(OH),6.034,8.959,-1.097,12.347,6.516,12,49,3.2154,2.8186,308,0,1,Program Record,,False,,,,,,,,,,,
5444,Santa Monica St. Monica (CA),(CA),5.929,8.072,-0.58,8.741,9.636,12,67,-2.0604,7.9894,297,0,1,Program Record,,False,,,,,,,,,,,
5453,Sparta Alleghany (NC),(NC),5.889,7.914,-0.69,12.558,11.538,11,58,-3.1806,9.0696,188,0,1,Program Record,,False,,,,,,,,,,,
5538,Breckenridge (MI),(MI),5.528,7.112,-1.033,11.228,8.331,13,80,2.5986,2.9294,228,0,1,Program Record,,False,,,,,,,,,,,
5558,Pocola (OK),(OK),5.413,8.126,-0.871,13.94,7.072,13,51,1.332,4.081,102,0,1,Program Record,,False,,,,,,,,,,,
5578,Bark River-Harris (MI),(MI),5.32,6.694,-0.437,14.049,14.943,12,70,1.9659,3.3541,231,0,1,Program Record,,False,,,,,,,,,,,
5588,Hanover-Horton (MI),(MI),5.277,6.601,-0.973,4.131,9.136,13,66,3.0196,2.2574,233,0,1,Program Record,,False,,,,,,,,,,,
5673,Capac (MI),(MI),4.946,7.87,-1.133,20.025,9.266,12,76,0.0108,4.9352,239,0,1,Program Record,,False,,,,,,,,,,,
5687,Montezuma Riverton Parke (IN),(IN),4.9,7.302,-1.447,10.024,13.866,12,39,-2.4898,7.3898,124,0,1,Program Record,,False,,,,,,,,,,,
5752,Choteau (MT),(MT),4.624,6.688,-2.385,10.514,27.09,11,54,3.9527,0.6713,24,0,1,Program Record,,False,,,,,,,,,,,
5843,Oklahoma City Mount St. Mary (OK),(OK),4.277,6.946,-0.799,15.201,11.294,11,63,1.1006,3.1764,110,0,1,Program Record,,False,,,,,,,,,,,
5925,Hico Midland Trail (WV),(WV),3.794,6.17,-0.994,18.314,12.409,12,49,2.6581,1.1359,30,0,1,Program Record,,False,,,,,,,,,,,
5927,Hayden (CO),(CO),3.789,5.48,-0.454,23.639,17.473,9,55,0.4496,3.3394,96,0,1,Program Record,,False,,,,,,,,,,,
5951,Gainesville St.Francis Catholic (FL),(FL),3.673,6.464,-1.515,17.904,2.685,7,32,-5.123,8.796,322,0,1,Program Record,,False,,,,,,,,,,,
5962,Johnson-Stanton County (KS),(KS),3.61,5.944,0.459,13.783,4.853,7,44,2.1863,1.4237,149,0,1,Program Record,,False,,,,,,,,,,,
6056,Southington Chalker (OH),(OH),3.243,5.627,-1.925,13.348,11.877,11,51,-5.5854,8.8284,337,0,1,Program Record,,False,,,,,,,,,,,
6067,Bronson (MI),(MI),3.202,4.714,-1.301,10.542,17.959,12,83,1.0216,2.1804,264,0,1,Program Record,,False,,,,,,,,,,,
6114,Heyworth (IL),(IL),3.014,5.005,-1.293,7.566,4.432,11,60,-8.8471,11.8611,206,0,1,Program Record,,False,,,,,,,,,,,
6140,Monroe South Sevier County (UT),(UT),2.903,4.603,-1.182,13.764,8.962,12,55,1.5318,1.3712,74,0,1,Program Record,,False,,,,,,,,,,,
6386,Granite Falls (WA),(WA),1.841,3.503,-1.134,19.666,1.908,10,55,-0.4069,2.2479,130,0,1,Program Record,,False,,,,,,,,,,,
6388,Seattle Chief Sealth (WA),(WA),1.83,5.073,-1.211,29.191,-1.34,10,50,-4.3227,6.1527,131,0,1,Program Record,,False,,,,,,,,,,,
6428,Paris (MO),(MO),1.648,3.879,-1.707,13.398,8.705,10,53,1.2402,0.4078,144,0,1,Program Record,,False,,,,,,,,,,,
6515,Fairland (OK),(OK),1.267,3.34,-1.174,14.207,8.346,13,58,-5.4224,6.6894,120,0,1,Program Record,,False,,,,,,,,,,,
6573,Westford Nashoba Valley Tech (MA),(MA),0.996,3.281,-1.453,18.435,9.442,11,48,-0.1813,1.1773,101,0,1,Program Record,,False,,,,,,,,,,,
6637,Federalsburg Colonel Richardson (MD),(MD),0.741,2.967,-1.787,17.601,12.505,10,46,0.2867,0.4543,104,0,1,Program Record,,False,,,,,,,,,,,
6865,Cedar Vale (KS),(KS),-0.193,0.838,-1.21,19.178,14.978,9,64,-9.8156,9.6226,170,0,1,Program Record,,False,,,,,,,,,,,
6883,Darby (MT),(MT),-0.298,2.358,-2.713,19.427,17.322,9,51,-1.1776,0.8796,33,0,1,Program Record,,False,,,,,,,,,,,
7084,Oblong (IL),(IL),-1.097,0.556,-0.867,28.72,1.374,9,57,-12.247,11.15,242,0,1,Program Record,,False,,,,,,,,,,,
7107,Springport (MI),(MI),-1.198,-1.272,-2.184,9.74,21.822,13,80,-3.6459,2.4479,308,0,1,Program Record,,False,,,,,,,,,,,
7121,Petersburg (WV),(WV),-1.274,0.013,-1.533,16.005,5.182,11,92,-1.5064,0.2324,37,0,1,Program Record,,False,,,,,,,,,,,
7225,Logan (KS),(KS),-1.707,-1.022,-1.003,12.873,11.873,10,49,-11.7533,10.0463,174,0,1,Program Record,,False,,,,,,,,,,,
7243,Hanover River Ridge (IL),(IL),-1.77,-0.201,-0.323,23.274,1.155,8,26,-16.1253,14.3553,248,0,1,Program Record,,False,,,,,,,,,,,
7409,Mount Calm (TX),(TX),-2.311,-0.446,-1.985,31.752,17.449,10,44,-4.5506,2.2396,820,0,1,Program Record,,False,,,,,,,,,,,
7441,Adrian Madison (MI),(MI),-2.44,-2.056,-1.715,11.012,12.555,11,59,-4.0252,1.5852,323,0,1,Program Record,,False,,,,,,,,,,,
7590,Collbran Plateau Valley (CO),(CO),-3.005,-2.694,-0.831,15.625,13.118,10,53,-5.8711,2.8661,117,0,1,Program Record,,False,,,,,,,,,,,
7617,Franklin Pendleton County (WV),(WV),-3.107,-2.498,-1.862,17.301,16.502,13,29,-3.6008,0.4938,42,0,1,Program Record,,False,,,,,,,,,,,
7792,Priest River (ID),(ID),-3.824,-2.929,-1.516,11.384,7.601,10,55,-6.8481,3.0241,71,0,1,Program Record,,False,,,,,,,,,,,
8095,Hillman (MI),(MI),-5.267,-5.044,-2.064,13.709,13.76,12,73,-11.5104,6.2434,353,0,1,Program Record,,False,,,,,,,,,,,
8118,Mcdermott Northwest (OH),(OH),-5.376,-5.795,-2.081,7.164,14.872,10,55,-8.8602,3.4842,435,0,1,Program Record,,False,,,,,,,,,,,
8153,Tierra Amarilla Escalante (NM),(NM),-5.509,-5.468,-1.448,5.788,11.269,12,50,-20.1002,14.5912,29,0,1,Program Record,,False,,,,,,,,,,,
8538,Mission Todd County (SD),(SD),-7.249,8.061,-16.472,18.155,-2.917,10,50,-11.5422,4.2932,50,0,1,Program Record,,False,,,,,,,,,,,
8568,Queens Bryant (NY),(NY),-7.406,-5.242,-1.636,22.363,-1.08,11,46,-10.9776,3.5716,159,0,1,Program Record,,False,,,,,,,,,,,
9092,Lakeside Danbury (OH),(OH),-9.605,-10.602,-2.895,12.993,16.751,11,49,-15.9659,6.3609,482,0,1,Program Record,,False,,,,,,,,,,,
9184,New Castle Craig County (VA),(VA),-9.977,-10.199,-3.225,10.123,13.889,12,55,-10.9421,0.9651,218,0,1,Program Record,,False,,,,,,,,,,,
9369,Dryden (MI),(MI),-10.755,-11.337,-2.381,21.283,21.124,9,70,-11.2316,0.4766,405,0,1,Program Record,,False,,,,,,,,,,,
9426,Waldron (MI),(MI),-10.979,-11.355,-3.705,15.18,20.565,9,71,-11.5811,0.6021,407,0,1,Program Record,,False,,,,,,,,,,,
9514,Brimley (MI),(MI),-11.326,-12.804,-3.017,5.951,19.341,9,69,-18.35,7.024,409,0,1,Program Record,,False,,,,,,,,,,,
9930,Sylacauga Fayetteville (AL),(AL),-13.266,-14.036,-2.894,12.94,13.19,11,28,-15.9232,2.6572,261,0,1,Program Record,,False,,,,,,,,,,,
